Class ID	Preferred Label	Synonyms	Definitions	Obsolete	CUI	Semantic Types	Parents	AAL	ACR_ID	ACR_Term	Acronym	Anatomical_Site	Anterior_to	Attaches_to	Blood_Supply_of	Bounded_by	Bounds	Branch_Of	Branch_Part_of	Changes made to class	CMA_Label	Comment	Constitutional_Part_Of	Contained_In	Contains	Continuous_With	Created mm/dd/yyyy	Definition	Distal_to	Drains_Into	External_to	FMAID	Freesurfer	Has_Blood_Supply	Has_Branch	Has_Branch_Part	Has_Constitutional_Part	Has_Entrapment_Site	Has_Innervation_Source	Has_insertion	Has_Member	Has_origin	Has_Part	Has_Regional_Part	Has_Subtype	http://data.bioontology.org/metadata/prefixIRI	id	Image_URL	Inferior_to	Innervates	Insertion_of	Is_A	JHU_DTI-81	JHU_White-Matter_Tractography_Atlas	language	Left_Lateral_to	Lymphatic_Drainage	Lymphatic_Drainage_Of	May_Be_Caused_By	May_Cause	Member_Of	Misspelling of term	name	Name	Neurolex_ID	Neurolex_Term	Non-English_name	Origin_of	Part_Of	Posterior_to	Preferred_name	Preferred_Name_for_Obsolete	Preferred_name_German	Projects_From	Projects_To	Proximal_to	Radlex version of class change	Receives_attachment_from	Receives_Drainage_From	Receives_Input_From	Receives_Projection_From	Regional_Part_Of	Related_modality	Replaced_by	Right_Lateral_to	Segment_Of	Sends_Output_To	SNOMED_ID	SNOMED_Term	Source	Superior_to	Surrounded_by	Surrounds	Synonym	Synonym_German	Talairach	Term type	Term_Status	Tributary_Of	UMLS_ID	UMLS_Term	Unsanctioned Term
http://www.radlex.org/RID/#RID7844	accessory atlantoaxial ligament	accessory atlanto-axial ligament		FALSE			http://www.radlex.org/RID/#RID7826																																							RID7844						http://www.radlex.org/RID/#RID7826																			accessory atlantoaxial ligament		akzessorisches Ligamentum atlantoaxiale																					accessory atlanto-axial ligament								
http://www.radlex.org/RID/#RID48560	medial part of tendon of left quadriceps femoris			FALSE			http://www.radlex.org/RID/#RID48558																									51938														RID48560						http://www.radlex.org/RID/#RID48558																	http://www.radlex.org/RID/#RID48533		medial part of tendon of left quadriceps femoris		medialer Teil der Sehne des linken Musculus quadriceps femoris									http://www.radlex.org/RID/#RID48533																				
http://www.radlex.org/RID/#RID9248	infratemporal fossa of maxilla			FALSE			http://www.radlex.org/RID/#RID35803																																				http://www.radlex.org/RID/#RID9250|http://www.radlex.org/RID/#RID9249|http://www.radlex.org/RID/#RID9251			RID9248						http://www.radlex.org/RID/#RID35803																	http://www.radlex.org/RID/#RID9236		infratemporal fossa of maxilla		Fossa infratemporalis der Maxilla																													
http://www.radlex.org/RID/#RID20022	gray matter of left side of culmen of anterior lobe of cerebellum			FALSE			http://www.radlex.org/RID/#RID15683																									272738														RID20022						http://www.radlex.org/RID/#RID15683																			gray matter of left side of culmen of anterior lobe of cerebellum		graue Substanz der linken Seite des Culmens des Vorderlappens des Cerebellums																							Left Cerebellum.Anterior Lobe.Culmen.Gray Matter.|Left Cerebellum.Anterior Lobe.Culmen of Vermis.Gray Matter.*						
http://www.radlex.org/RID/#RID34529	zone of flat bone	flat bone zone		FALSE			http://www.radlex.org/RID/#RID13216																									24010													http://www.radlex.org/RID/#RID35750|http://www.radlex.org/RID/#RID13243|http://www.radlex.org/RID/#RID13240|http://www.radlex.org/RID/#RID13242|http://www.radlex.org/RID/#RID13238	RID34529						http://www.radlex.org/RID/#RID13216																			zone of flat bone		Bereich des platten Knochens																					flat bone zone								
http://www.radlex.org/RID/#RID25174	descending branch of meningeal branch of right fifth sacral nerve			FALSE			http://www.radlex.org/RID/#RID25173											http://www.radlex.org/RID/#RID23056								http://www.radlex.org/RID/#RID23056						16833														RID25174						http://www.radlex.org/RID/#RID25173																	http://www.radlex.org/RID/#RID23056		descending branch of meningeal branch of right fifth sacral nerve		Ramus descendens des Ramus meningeus des rechten Nervus sacralis V									http://www.radlex.org/RID/#RID23056																				
http://www.radlex.org/RID/#RID18700	anterior root of left fourth sacral nerve			FALSE			http://www.radlex.org/RID/#RID18698																									18046														RID18700						http://www.radlex.org/RID/#RID18698																	http://www.radlex.org/RID/#RID44126|http://www.radlex.org/RID/#RID18269		anterior root of left fourth sacral nerve		Radix anterior des linken Nervus sacralis IV									http://www.radlex.org/RID/#RID44126|http://www.radlex.org/RID/#RID18269																				
http://www.radlex.org/RID/#RID46459	c5 dorsal column nucleus of right superior subscapular nerve			FALSE			http://www.radlex.org/RID/#RID46458																									291862														RID46459						http://www.radlex.org/RID/#RID46458																	http://www.radlex.org/RID/#RID47875		c5 dorsal column nucleus of right superior subscapular nerve		Nucleus des rechten Nervus subscapularis superior in der Hintersäule des Segments C5									http://www.radlex.org/RID/#RID47875																				
http://www.radlex.org/RID/#RID32028	gluteal lymph node group	gluteal lymph nodes set		FALSE			http://www.radlex.org/RID/#RID28855																									71832														RID32028						http://www.radlex.org/RID/#RID28855															nodi gluteales|nodi lymphoidei gluteales				gluteal lymph node group		nodi gluteales																					gluteal lymph nodes set	nodi lymphoidei gluteales							
http://www.radlex.org/RID/#RID34073	white matter of subdivision of sacral segment of spinal cord			FALSE			http://www.radlex.org/RID/#RID18164																http://www.radlex.org/RID/#RID25756									265843					http://www.radlex.org/RID/#RID19549|http://www.radlex.org/RID/#RID33798|http://www.radlex.org/RID/#RID19404						http://www.radlex.org/RID/#RID19549|http://www.radlex.org/RID/#RID33798|http://www.radlex.org/RID/#RID19404		http://www.radlex.org/RID/#RID18197|http://www.radlex.org/RID/#RID18194|http://www.radlex.org/RID/#RID18196|http://www.radlex.org/RID/#RID18198|http://www.radlex.org/RID/#RID18195	RID34073						http://www.radlex.org/RID/#RID18164																	http://www.radlex.org/RID/#RID25756		white matter of subdivision of sacral segment of spinal cord		weiße Substanz eines Segments eines sakralen Rückenmarkssegments																													
http://www.radlex.org/RID/#RID22523	trunk of right common fibular nerve	right common fibular neural trunk		FALSE			http://www.radlex.org/RID/#RID22522																									78960														RID22523						http://www.radlex.org/RID/#RID22522																			trunk of right common fibular nerve		Truncus des rechten Nervus fibularis communis																					right common fibular neural trunk								
http://www.radlex.org/RID/#RID27675	left side of posterior lobe of cerebellum	left half of posterior lobe of cerebellum		FALSE			http://www.radlex.org/RID/#RID18343																									274291														RID27675						http://www.radlex.org/RID/#RID18343																			left side of posterior lobe of cerebellum		linke Seite des Hinterlappens des Cerebellums																					left half of posterior lobe of cerebellum								
http://www.radlex.org/RID/#RID36954	multiform layer of right Brodmann area 9			FALSE			http://www.radlex.org/RID/#RID36953																									283265														RID36954						http://www.radlex.org/RID/#RID36953																			multiform layer of right Brodmann area 9		multiforme Schicht des rechten Brodmann-Areals 9																													
http://www.radlex.org/RID/#RID6494	postcentral gyrus	postrolandic gyrus|posterior central gyrus|postcentral convolution		FALSE			http://www.radlex.org/RID/#RID26538														POG											61896					http://www.radlex.org/RID/#RID20332						http://www.radlex.org/RID/#RID20332|http://www.radlex.org/RID/#RID14087|http://www.radlex.org/RID/#RID14092|http://www.radlex.org/RID/#RID6495|http://www.radlex.org/RID/#RID14090	http://www.radlex.org/RID/#RID14087|http://www.radlex.org/RID/#RID14092|http://www.radlex.org/RID/#RID14090	http://www.radlex.org/RID/#RID13927|http://www.radlex.org/RID/#RID13928	RID6494						http://www.radlex.org/RID/#RID26538															gyrus centralis posterior|gyrus postcentralis		http://www.radlex.org/RID/#RID7086|http://www.radlex.org/RID/#RID6493		postcentral gyrus		gyrus centralis posterior									http://www.radlex.org/RID/#RID7086|http://www.radlex.org/RID/#RID6493												postrolandic gyrus|posterior central gyrus|postcentral convolution	gyrus postcentralis	Inter-Hemispheric.*.Postcentral Gyrus.*.*						
http://www.radlex.org/RID/#RID13851	area postrema	area postrema in medulla oblongata		FALSE			http://www.radlex.org/RID/#RID13849																http://www.radlex.org/RID/#RID6681									72607														RID13851						http://www.radlex.org/RID/#RID13849																	http://www.radlex.org/RID/#RID6681		area postrema		area postrema in medulla oblongata							http://www.radlex.org/RID/#RID6717|http://www.radlex.org/RID/#RID6669							http://www.radlex.org/RID/#RID6717|http://www.radlex.org/RID/#RID20792|http://www.radlex.org/RID/#RID20878|http://www.radlex.org/RID/#RID6714							area postrema in medulla oblongata								
http://www.radlex.org/RID/#RID9497	foramen lacerum			FALSE			http://www.radlex.org/RID/#RID34479															"contains meningeal branch of ascending pharyngeal artery (internal carotid artery, and greater and deep petrosal nerves pass across it superiorly)"																								RID9497						http://www.radlex.org/RID/#RID34479																	http://www.radlex.org/RID/#RID9196		foramen lacerum		Foramen lacerum																													
http://www.radlex.org/RID/#RID22418	trunk of lateral dorsal digital nerve of left little toe			FALSE			http://www.radlex.org/RID/#RID22416																									78855														RID22418						http://www.radlex.org/RID/#RID22416																			trunk of lateral dorsal digital nerve of left little toe		Truncus des Nervus digitalis dorsalis lateralis des linken kleinen Zehs																													
http://www.radlex.org/RID/#RID49641	vasculature of penis	penis vessels		FALSE			http://www.radlex.org/RID/#RID15990													new							8/19/2014																			RID49641						http://www.radlex.org/RID/#RID15990																			vasculature of penis		Gefäße des Penis				3.12													Playbook				penis vessels								
http://www.radlex.org/RID/#RID4123	rhabdoid meningioma	rhabdoid meningioma (WHO grade III)		FALSE			http://www.radlex.org/RID/#RID4118																																							RID4123						http://www.radlex.org/RID/#RID4118																			rhabdoid meningioma		Rhabdoides Meningeom																					rhabdoid meningioma (WHO grade III)								
http://www.radlex.org/RID/#RID50052	depreotide			FALSE			http://www.radlex.org/RID/#RID35973													new							6/16/2016																			RID50052						http://www.radlex.org/RID/#RID35973																			depreotide						3.14													LOINC												
http://www.radlex.org/RID/#RID23054	meningeal branch of left fourth sacral nerve			FALSE			http://www.radlex.org/RID/#RID23052											http://www.radlex.org/RID/#RID18269								http://www.radlex.org/RID/#RID25097|http://www.radlex.org/RID/#RID25172|http://www.radlex.org/RID/#RID18269|http://www.radlex.org/RID/#RID24999						16725			http://www.radlex.org/RID/#RID25097|http://www.radlex.org/RID/#RID25172|http://www.radlex.org/RID/#RID24999								http://www.radlex.org/RID/#RID25097|http://www.radlex.org/RID/#RID25172|http://www.radlex.org/RID/#RID24999	http://www.radlex.org/RID/#RID25097|http://www.radlex.org/RID/#RID25172|http://www.radlex.org/RID/#RID24999		RID23054						http://www.radlex.org/RID/#RID23052																	http://www.radlex.org/RID/#RID18269		meningeal branch of left fourth sacral nerve		Ramus meningeus des linken Nervus sacralis IV									http://www.radlex.org/RID/#RID18269																				
http://www.radlex.org/RID/#RID34518	temporal segment of uncinate fasciculus			FALSE			http://www.radlex.org/RID/#RID19622																									279789													http://www.radlex.org/RID/#RID34520|http://www.radlex.org/RID/#RID34519	RID34518						http://www.radlex.org/RID/#RID19622																	http://www.radlex.org/RID/#RID6938		temporal segment of uncinate fasciculus		temporales Segment des Fasciculus uncinatus	http://www.radlex.org/RID/#RID7014|http://www.radlex.org/RID/#RID20957|http://www.radlex.org/RID/#RID13143|http://www.radlex.org/RID/#RID13151|http://www.radlex.org/RID/#RID13149|http://www.radlex.org/RID/#RID7012								http://www.radlex.org/RID/#RID6938																				
http://www.radlex.org/RID/#RID10412	thrombectomy	clot removal	Surgical removal of an obstructing clot or foreign material from a blood vessel at the point of its formation. Removal of a clot arising from a distant site is called embolectomy. [MeSH]	FALSE			http://www.radlex.org/RID/#RID49591													"loc, source"								Surgical removal of an obstructing clot or foreign material from a blood vessel at the point of its formation. Removal of a clot arising from a distant site is called embolectomy. [MeSH]																	http://www.radlex.org/RID/#RID49748	RID10412						http://www.radlex.org/RID/#RID49591																			thrombectomy		Thrombektomie				8/19/2014													Playbook				clot removal						C0162578	thrombectomy	
http://www.radlex.org/RID/#RID18566	ventral lamella of principal inferior olivary nucleus	ventral lamella of principal olivary nucleus		FALSE			http://www.radlex.org/RID/#RID18563																									77088														RID18566						http://www.radlex.org/RID/#RID18563															lamella anterior nuclei olivaris principalis				ventral lamella of principal inferior olivary nucleus		lamella anterior nuclei olivaris principalis																					ventral lamella of principal olivary nucleus								
http://www.radlex.org/RID/#RID5818	anterior			FALSE			http://www.radlex.org/RID/#RID5817																																							RID5818						http://www.radlex.org/RID/#RID5817																			anterior		anterior																													
http://www.radlex.org/RID/#RID49585	other modality (DICOM)	DICOM other modality|OT		FALSE			http://www.radlex.org/RID/#RID10311													new							8/19/2014																			RID49585						http://www.radlex.org/RID/#RID10311																			other modality (DICOM)		andere Modalität (DICOM)				3.12													Playbook				DICOM other modality|OT								
http://www.radlex.org/RID/#RID27664	right corticotectospinal tract			FALSE			http://www.radlex.org/RID/#RID27663																									275568														RID27664						http://www.radlex.org/RID/#RID27663																			right corticotectospinal tract		rechter Tractus corticotectospinalis																													
http://www.radlex.org/RID/#RID22512	trunk of lateral proper plantar digital nerve of fourth toe			FALSE			http://www.radlex.org/RID/#RID22508																									78939													http://www.radlex.org/RID/#RID22514|http://www.radlex.org/RID/#RID22513	RID22512						http://www.radlex.org/RID/#RID22508																			trunk of lateral proper plantar digital nerve of fourth toe		Truncus des Nervus digitalis plantaris proprius lateralis des vierten Zehs																													
http://www.radlex.org/RID/#RID3644	synovitis due to foreign material			FALSE			http://www.radlex.org/RID/#RID3630																																						http://www.radlex.org/RID/#RID3646|http://www.radlex.org/RID/#RID3645	RID3644						http://www.radlex.org/RID/#RID3630																			synovitis due to foreign material		Synovitis verursacht durch Fremdmaterial																													
http://www.radlex.org/RID/#RID37417	external granular layer of right Brodmann area 34			FALSE			http://www.radlex.org/RID/#RID37416																http://www.radlex.org/RID/#RID25874									284081														RID37417						http://www.radlex.org/RID/#RID37416																	http://www.radlex.org/RID/#RID25874		external granular layer of right Brodmann area 34		äußere Körnerschicht des rechten Brodmann-Areals 34																													
http://www.radlex.org/RID/#RID2239	carpal articular cartilage of ulnar head			FALSE			http://www.radlex.org/RID/#RID6074													loc																										RID2239						http://www.radlex.org/RID/#RID6074																	http://www.radlex.org/RID/#RID2237		carpal articular cartilage of ulnar head		karpaler Teil des Gelenkknorpels des Ulnakopfes				3.14																									
http://www.radlex.org/RID/#RID21442	trunk of stylohyoid branch of facial nerve			FALSE			http://www.radlex.org/RID/#RID21425																									80817													http://www.radlex.org/RID/#RID21444|http://www.radlex.org/RID/#RID21443	RID21442						http://www.radlex.org/RID/#RID21425																			trunk of stylohyoid branch of facial nerve		Truncus des Ramus des Nervus facialis zum Musculus stylohyoideus																													
http://www.radlex.org/RID/#RID34084	dorsal segment of superior longitudinal fasciculus	dorsal component of superior longitudinal fasciculus|sLF I		FALSE			http://www.radlex.org/RID/#RID19622																									276620													http://www.radlex.org/RID/#RID34086|http://www.radlex.org/RID/#RID34085	RID34084						http://www.radlex.org/RID/#RID19622																	http://www.radlex.org/RID/#RID6933		dorsal segment of superior longitudinal fasciculus		dorsales Segment des Fasciculus longitudinalis superior	http://www.radlex.org/RID/#RID25952|http://www.radlex.org/RID/#RID13624|http://www.radlex.org/RID/#RID13603|http://www.radlex.org/RID/#RID25970|http://www.radlex.org/RID/#RID13621|http://www.radlex.org/RID/#RID13600	http://www.radlex.org/RID/#RID34178|http://www.radlex.org/RID/#RID25988|http://www.radlex.org/RID/#RID13645|http://www.radlex.org/RID/#RID25982|http://www.radlex.org/RID/#RID6996|http://www.radlex.org/RID/#RID13633|http://www.radlex.org/RID/#RID13615|http://www.radlex.org/RID/#RID25958							http://www.radlex.org/RID/#RID6933												dorsal component of superior longitudinal fasciculus|sLF I								
http://www.radlex.org/RID/#RID33448	mucosa of middle part of ileum			FALSE			http://www.radlex.org/RID/#RID33446																http://www.radlex.org/RID/#RID31442									17151														RID33448						http://www.radlex.org/RID/#RID33446																	http://www.radlex.org/RID/#RID31442		mucosa of middle part of ileum		Mukosa des mittleren Teils des Ileums																													
http://www.radlex.org/RID/#RID45928	ReqLabsReported	Required Lab tests Reported|Lab tests Reported|Required Labs Reported	Required lab tests available in medical record	FALSE			http://www.radlex.org/RID/#RID45812																					Required lab tests available in medical record																		RID45928						http://www.radlex.org/RID/#RID45812																			ReqLabsReported		ReqLabsReported																	SIIM				Required Lab tests Reported|Lab tests Reported|Required Labs Reported								
http://www.radlex.org/RID/#RID1168	medullary vein			FALSE			http://www.radlex.org/RID/#RID1155																																							RID1168						http://www.radlex.org/RID/#RID1155																	http://www.radlex.org/RID/#RID13184		medullary vein		Vena medullaris																													
http://www.radlex.org/RID/#RID15489	left fifth common plantar digital nerve	left lateral common plantar digital nerve		FALSE			http://www.radlex.org/RID/#RID15487											http://www.radlex.org/RID/#RID15483	http://www.radlex.org/RID/#RID15483							http://www.radlex.org/RID/#RID15499|http://www.radlex.org/RID/#RID15502|http://www.radlex.org/RID/#RID15505|http://www.radlex.org/RID/#RID15483|http://www.radlex.org/RID/#RID28036						44770			http://www.radlex.org/RID/#RID15499|http://www.radlex.org/RID/#RID15502|http://www.radlex.org/RID/#RID15505|http://www.radlex.org/RID/#RID28036	http://www.radlex.org/RID/#RID15499|http://www.radlex.org/RID/#RID15502|http://www.radlex.org/RID/#RID15505|http://www.radlex.org/RID/#RID28036							http://www.radlex.org/RID/#RID15499|http://www.radlex.org/RID/#RID15502|http://www.radlex.org/RID/#RID15505|http://www.radlex.org/RID/#RID28036	http://www.radlex.org/RID/#RID15499|http://www.radlex.org/RID/#RID15502|http://www.radlex.org/RID/#RID15505|http://www.radlex.org/RID/#RID28036		RID15489						http://www.radlex.org/RID/#RID15487																	http://www.radlex.org/RID/#RID15483		left fifth common plantar digital nerve		linker Nervus digitalis plantaris communis V									http://www.radlex.org/RID/#RID15483												left lateral common plantar digital nerve								
http://www.radlex.org/RID/#RID5766	too little			FALSE			http://www.radlex.org/RID/#RID5761																																							RID5766						http://www.radlex.org/RID/#RID5761																			too little		zu klein																													
http://www.radlex.org/RID/#RID42698	posterosuperior zone of left glenoid labrum			FALSE			http://www.radlex.org/RID/#RID42696																									296507														RID42698						http://www.radlex.org/RID/#RID42696																	http://www.radlex.org/RID/#RID41026		posterosuperior zone of left glenoid labrum		posterosuperiorer Bereich des linken Labrum glenoidale									http://www.radlex.org/RID/#RID41026																				
http://www.radlex.org/RID/#RID40197	muscle body of deltoid			FALSE			http://www.radlex.org/RID/#RID40190																http://www.radlex.org/RID/#RID1936									297508											http://www.radlex.org/RID/#RID40457|http://www.radlex.org/RID/#RID40454|http://www.radlex.org/RID/#RID40460	http://www.radlex.org/RID/#RID40457|http://www.radlex.org/RID/#RID40454|http://www.radlex.org/RID/#RID40460	http://www.radlex.org/RID/#RID40199|http://www.radlex.org/RID/#RID40198	RID40197						http://www.radlex.org/RID/#RID40190																	http://www.radlex.org/RID/#RID1936		muscle body of deltoid		Muskelkörper des Musculus deltoideus																													
http://www.radlex.org/RID/#RID3935	Rathke cleft cyst			FALSE			http://www.radlex.org/RID/#RID3890																																							RID3935						http://www.radlex.org/RID/#RID3890																			Rathke cleft cyst		Rathke-Taschen-Zyste																													
http://www.radlex.org/RID/#RID45445	c5 root of median nerve			FALSE			http://www.radlex.org/RID/#RID47017																									291902											http://www.radlex.org/RID/#RID47035|http://www.radlex.org/RID/#RID47032|http://www.radlex.org/RID/#RID47053	http://www.radlex.org/RID/#RID47035|http://www.radlex.org/RID/#RID47032|http://www.radlex.org/RID/#RID47053	http://www.radlex.org/RID/#RID45446|http://www.radlex.org/RID/#RID45447	RID45445						http://www.radlex.org/RID/#RID47017																	http://www.radlex.org/RID/#RID45339		c5 root of median nerve		Wurzel des Nervus medianus in Segment C5									http://www.radlex.org/RID/#RID45339																				
http://www.radlex.org/RID/#RID2780	ligament of knee joint	knee joint ligament		FALSE			http://www.radlex.org/RID/#RID34843													loc												44580													http://www.radlex.org/RID/#RID2849|http://www.radlex.org/RID/#RID48960|http://www.radlex.org/RID/#RID48993|http://www.radlex.org/RID/#RID2801|http://www.radlex.org/RID/#RID2818|http://www.radlex.org/RID/#RID48996|http://www.radlex.org/RID/#RID2792|http://www.radlex.org/RID/#RID2787|http://www.radlex.org/RID/#RID2817|http://www.radlex.org/RID/#RID49007|http://www.radlex.org/RID/#RID49012|http://www.radlex.org/RID/#RID48975|http://www.radlex.org/RID/#RID48957|http://www.radlex.org/RID/#RID2813|http://www.radlex.org/RID/#RID2812|http://www.radlex.org/RID/#RID48980|http://www.radlex.org/RID/#RID2807|http://www.radlex.org/RID/#RID2802|http://www.radlex.org/RID/#RID2789|http://www.radlex.org/RID/#RID2809|http://www.radlex.org/RID/#RID2793|http://www.radlex.org/RID/#RID2845|http://www.radlex.org/RID/#RID48966|http://www.radlex.org/RID/#RID2788|http://www.radlex.org/RID/#RID2814|http://www.radlex.org/RID/#RID2804|http://www.radlex.org/RID/#RID2800|http://www.radlex.org/RID/#RID2795|http://www.radlex.org/RID/#RID2844|http://www.radlex.org/RID/#RID2816|http://www.radlex.org/RID/#RID48963|http://www.radlex.org/RID/#RID7835|http://www.radlex.org/RID/#RID2806	RID2780						http://www.radlex.org/RID/#RID34843																	http://www.radlex.org/RID/#RID2751		ligament of knee joint		Ligamentum des Kniegelenkes				3.14																	knee joint ligament								
